state,maximum_temperature,year,id_state
SAN LUIS POTOSÍ,28.9,2015,24
SINALOA,32.8,2015,25
SONORA,31.1,2015,26
TABASCO,32.1,2015,27
TAMAULIPAS,30.0,2015,28
TLAXCALA,23.4,2015,29
VERACRUZ,28.4,2015,30
YUCATÁN,33.6,2015,31
ZACATECAS,25.2,2015,32
AGUASCALIENTES,26.675,2016,1
BAJA CALIFORNIA,28.641666666666666,2016,2
BAJA CALIFORNIA SUR,30.974999999999998,2016,3
CAMPECHE,33.875,2016,4
CHIAPAS,31.599999999999998,2016,5
CHIHUAHUA,27.66666666666667,2016,6
CIUDAD DE MÉXICO,24.100000000000005,2016,7
COAHUILA,29.200000000000003,2016,8
COLIMA,33.708333333333336,2016,9
DURANGO,27.61666666666667,2016,10
ESTADO DE MÉXICO,22.36666666666667,2016,11
GUANAJUATO,27.375,2016,12
GUERRERO,32.53333333333333,2016,13
HIDALGO,26.133333333333326,2016,14
JALISCO,29.641666666666666,2016,15
MICHOACÁN,28.866666666666664,2016,16
MORELOS,29.483333333333334,2016,17
NAYARIT,32.83333333333333,2016,18
NUEVO LEÓN,30.13333333333333,2016,19
OAXACA,31.166666666666668,2016,20
PUEBLA,25.666666666666668,2016,21
QUERÉTARO,27.075,2016,22
QUINTANA ROO,32.575,2016,23
SAN LUIS POTOSÍ,29.816666666666666,2016,24
SINALOA,33.93333333333333,2016,25
SONORA,31.974999999999994,2016,26
TABASCO,31.925,2016,27
TAMAULIPAS,31.058333333333334,2016,28
TLAXCALA,23.516666666666666,2016,29
VERACRUZ,29.775000000000002,2016,30
YUCATÁN,33.3,2016,31
ZACATECAS,25.908333333333335,2016,32
AGUASCALIENTES,27.13333333333333,2017,1
BAJA CALIFORNIA,28.816666666666666,2017,2
BAJA CALIFORNIA SUR,31.133333333333336,2017,3
CAMPECHE,33.64166666666667,2017,4
CHIAPAS,31.333333333333332,2017,5
CHIHUAHUA,28.224999999999998,2017,6
CIUDAD DE MÉXICO,24.599999999999998,2017,7
COAHUILA,29.849999999999998,2017,8
COLIMA,33.175000000000004,2017,9
DURANGO,28.116666666666664,2017,10
ESTADO DE MÉXICO,22.866666666666664,2017,11
GUANAJUATO,27.900000000000002,2017,12
GUERRERO,32.19166666666666,2017,13
HIDALGO,26.90833333333333,2017,14
JALISCO,30.108333333333334,2017,15
MICHOACÁN,29.541666666666668,2017,16
MORELOS,29.708333333333332,2017,17
NAYARIT,33.13333333333333,2017,18
NUEVO LEÓN,30.433333333333334,2017,19
OAXACA,30.766666666666666,2017,20
PUEBLA,25.825,2017,21
QUERÉTARO,27.49166666666667,2017,22
QUINTANA ROO,32.89166666666667,2017,23
SAN LUIS POTOSÍ,30.774999999999995,2017,24
SINALOA,34.291666666666664,2017,25
SONORA,32.23333333333333,2017,26
TABASCO,32.175,2017,27
TAMAULIPAS,31.549999999999997,2017,28
TLAXCALA,23.766666666666666,2017,29
VERACRUZ,28.941666666666663,2017,30
YUCATÁN,33.0,2017,31
ZACATECAS,26.783333333333335,2017,32
AGUASCALIENTES,26.46666666666667,2018,1
BAJA CALIFORNIA,28.125,2018,2
BAJA CALIFORNIA SUR,30.64166666666667,2018,3
CAMPECHE,33.06666666666666,2018,4
CHIAPAS,31.299999999999994,2018,5
CHIHUAHUA,27.70833333333334,2018,6
CIUDAD DE MÉXICO,24.291666666666668,2018,7
COAHUILA,28.650000000000002,2018,8
COLIMA,33.625,2018,9
DURANGO,27.950000000000003,2018,10
ESTADO DE MÉXICO,22.95,2018,11
GUANAJUATO,27.20833333333333,2018,12
GUERRERO,32.10833333333333,2018,13
HIDALGO,26.149999999999995,2018,14
JALISCO,29.275000000000002,2018,15
MICHOACÁN,29.09166666666667,2018,16
MORELOS,29.583333333333332,2018,17
NAYARIT,33.46666666666666,2018,18
NUEVO LEÓN,29.016666666666666,2018,19
OAXACA,30.391666666666666,2018,20
PUEBLA,25.59166666666667,2018,21
QUERÉTARO,27.28333333333333,2018,22
QUINTANA ROO,32.541666666666664,2018,23
SAN LUIS POTOSÍ,30.10833333333333,2018,24
SINALOA,33.88333333333333,2018,25
SONORA,31.433333333333334,2018,26
TABASCO,32.325,2018,27
TAMAULIPAS,30.416666666666668,2018,28
TLAXCALA,23.741666666666664,2018,29
VERACRUZ,28.225000000000005,2018,30
YUCATÁN,32.80833333333333,2018,31
ZACATECAS,25.98333333333333,2018,32
AGUASCALIENTES,27.4,2019,1
BAJA CALIFORNIA,26.4,2019,2
BAJA CALIFORNIA SUR,29.9,2019,3
CAMPECHE,33.7,2019,4
CHIAPAS,31.9,2019,5
CHIHUAHUA,27.6,2019,6
CIUDAD DE MÉXICO,25.4,2019,7
COAHUILA,29.5,2019,8
COLIMA,33.8,2019,9
DURANGO,28.2,2019,10
ESTADO DE MÉXICO,23.8,2019,11
GUANAJUATO,28.3,2019,12
GUERRERO,32.4,2019,13
HIDALGO,27.4,2019,14
JALISCO,30.2,2019,15
MICHOACÁN,29.8,2019,16
MORELOS,30.1,2019,17
NAYARIT,33.8,2019,18
NUEVO LEÓN,29.9,2019,19
OAXACA,31.1,2019,20
PUEBLA,26.8,2019,21
QUERÉTARO,28.6,2019,22
QUINTANA ROO,33.3,2019,23
SAN LUIS POTOSÍ,31.5,2019,24
SINALOA,33.5,2019,25
SONORA,30.7,2019,26
TABASCO,32.7,2019,27
TAMAULIPAS,31.2,2019,28
TLAXCALA,24.3,2019,29
VERACRUZ,29.1,2019,30
YUCATÁN,33.8,2019,31
ZACATECAS,27.0,2019,32
