LON,LAT,EDO,CLAVE_SIH,ENE,,,,,
-98.6,17.5,GRO,TLPGR,0,,,,,
-99.399444,17.568056,GRO,TXTGR,0.2,,,,,
-100.265833,18.382778,GRO,VGRGR,0,,,,,
-99.466111,18.295833,GRO,VTRGR,0,,,,,
-98.488333,17.903889,GRO,XXHGR,0,,,,,
-99.933333,17.603333,GRO,YXTGR,0,,,,,
-101.545,17.863333,GRO,ZHTGR,0,,,,,
-101.516667,20.433333,GTO,ABSGJ,12.3,,,,,
-100.716667,20.033333,GTO,ACNGJ,2.04,,,,,
-100.683333,20.533333,GTO,AEGGJ,0,,,,,
-100.583333,20.55,GTO,AMCGJ,0,,,,,
-100.620833,20.454167,GTO,APSGJ,0,,,,,
-101.625556,20.499167,GTO,ATBGJ,1.02,,,,,
-101.631667,21.2925,GTO,BARBOSA,6.08,,,,,
-101.833333,21.05,GTO,BRRGJ,7.23,,,,,
-100.899722,20.280278,GTO,CBOGJ,4,,,,,
-100.816667,20.533333,GTO,CLYGJ,2.1,,,,,
-101.474722,21.068056,GTO,COMGJ,0,,,,,
-100.363333,20.198333,GTO,CORGJ,1.2,,,,,
-101.630278,20.506667,GTO,CORRALEJO,1.76,,,,,
-101.666667,20.616667,GTO,CRMGJ,0,,,,,
-100.95,20.483333,GTO,CRTGJ,15,,,,,
-100.9,20.95,GTO,CSRGJ,0.01,,,,,
-101.666667,21.2,GTO,CSTGJ,8.9,,,,,
-100.933333,21.15,GTO,DHGGJ,0.01,,,,,
-101.835278,21.05,GTO,EBAGJ,7.22,,,,,
-100.5,20.2,GTO,ECBGJ,1.03,,,,,
-101.2,20.9,GTO,ECHGJ,0.01,,,,,
-101.366667,20.733333,GTO,ECNGJ,4.3,,,,,
-101.688056,21.173333,GTO,EPLGJ,3,,,,,
-101.7425,20.439167,GTO,GLNGJ,1.01,,,,,
-101.265,21.012222,GTO,GTOGJ,0,,,,,
-100.825833,20.848056,GTO,IALGJ,0.01,,,,,
-101.35,20.683333,GTO,IRPGJ,3.2,,,,,
-100.516667,20.133333,GTO,JCRGJ,0.03,,,,,
-100.525833,20.610278,GTO,LADGJ,1.52,,,,,
-101.073056,20.286944,GTO,LDYGJ,2.51,,,,,
-101.666667,21.1,GTO,LENGJ,1.01,,,,,
-100.866667,20.383333,GTO,LGVGJ,9,,,,,
-101.358889,20.276111,GTO,LJIGJ,8,,,,,
-101.106944,21.3225,GTO,LQMGJ,0,,,,,
-101.931944,20.504444,GTO,MABGJ,0,,,,,
-101.516667,21.633333,GTO,OCMGJ,10,,,,,
-100.9,21.1,GTO,PDLGJ,0.01,,,,,
-101.133333,20.516667,GTO,PERGJ,0.01,,,,,
-100.878333,21.105,GTO,PNLGJ,0.3,,,,,
-100.496111,21.22,GTO,POZGJ,0,,,,,
-101.287778,20.867222,GTO,PRSGJ,0,,,,,
-101.216667,21.483333,GTO,SFEGJ,3.2,,,,,
-101.016667,20.4,GTO,SJLGJ,7.7,,,,,
-101.199444,20.565278,GTO,SLMGJ,17.8,,,,,
-100.516667,21.3,GTO,SLPGJ,0,,,,,
-100.667222,20.051667,GTO,SLSGJ,1.02,,,,,
-100.884722,20.214167,GTO,SLVGJ,1.71,,,,,
-101.016389,20.430833,GTO,SMAGJ,0.9,,,,,
-100.745833,20.577778,GTO,SMOGJ,0.01,,,,,
-101.066667,20.3,GTO,SRTGJ,0.03,,,,,
-100.75,20.283333,GTO,TARGJ,0.04,,,,,
-101.3,20.6,GTO,TEMGJ,2.51,,,,,
-100.8,20.5,GTO,TGRGJ,0,,,,,
-101.182222,20.388611,GTO,VDSGJ,0.01,,,,,
-100.0925,21.298889,GTO,XICGJ,1.7,,,,,
-98.941667,20.268056,HGO,ACTHD,8.5,,,,,
-98.333333,21.016667,HGO,ATCHD,19,,,,,
-99.36,20.163889,HGO,ENDHD,16.01,,,,,
-99.648889,20.371389,HGO,HCPHD,5.9,,,,,
-98.416667,21.15,HGO,HJTHD,43.11,,,,,
-99.706944,20.32,HGO,HUICHAPAN,5.25,,,,,
-99.220833,20.481944,HGO,IXMHD,0.3,,,,,
-98.128889,20.136111,HGO,LAGUNASGT,15.1,,,,,
-99.348056,20.056667,HGO,LASROSAS,13.1,,,,,
-98.757222,20.591667,HGO,LMTHD,2,,,,,
-99.218611,20.2375,HGO,MXQHD,11.5,,,,,
-98.6,21.166667,HGO,ORZHD,63.93,,,,,
-98.7475,20.123333,HGO,PCOHD,4.5,,,,,
-98.334722,20.0575,HGO,PERHD,6.11,,,,,
